,drug,generated_coformers,unobstructed,orthogonal_planes,h_bond_bridging,mol,diversity
0,CC(=O)Nc1nnc(s1)S(N)(=O)=O,C1=CC=C1Br,1,1,0,<rdkit.Chem.rdchem.Mol object at 0x00000182D794BF90>,0.03781698612758395
2,CC(=O)Nc1nnc(s1)S(N)(=O)=O,IC1=CC(Cl)=CC(F)=C1F,1,1,0,<rdkit.Chem.rdchem.Mol object at 0x00000182D794B750>,0.1623810796116776
3,CC(=O)Nc1nnc(s1)S(N)(=O)=O,ICCCCCCCCCCCCC,1,1,0,<rdkit.Chem.rdchem.Mol object at 0x00000182D794BED0>,0.07029101198257101
4,CC(=O)Nc1nnc(s1)S(N)(=O)=O,O=C1C(=O)OC1=O,1,1,0,<rdkit.Chem.rdchem.Mol object at 0x00000182D794B810>,0.05544320278071975
5,CC(=O)Nc1nnc(s1)S(N)(=O)=O,O=C1NC(=O)C(=O)N1,1,1,0,<rdkit.Chem.rdchem.Mol object at 0x00000182D794BCF0>,0.06478816547845895
6,CC(=O)Nc1nnc(s1)S(N)(=O)=O,FC1=CC=C(Cl)C=C1,1,1,0,<rdkit.Chem.rdchem.Mol object at 0x00000182D794BB10>,0.18431686258033636
7,CC(=O)Nc1nnc(s1)S(N)(=O)=O,CC,1,1,0,<rdkit.Chem.rdchem.Mol object at 0x00000182D794BE70>,0.037513798713514276
8,CC(=O)Nc1nnc(s1)S(N)(=O)=O,IC1=CC(F)=CC(I)=C1,1,1,0,<rdkit.Chem.rdchem.Mol object at 0x00000182D794BE10>,0.13790414396654835
9,CC(=O)Nc1nnc(s1)S(N)(=O)=O,FC(F)(F)F,1,1,0,<rdkit.Chem.rdchem.Mol object at 0x00000182D794BC30>,0.031476555791665264
10,CC(=O)Nc1nnc(s1)S(N)(=O)=O,C1=CC=CO1,1,1,0,<rdkit.Chem.rdchem.Mol object at 0x00000182D794BF30>,0.06448702667676269
11,CC(=O)Nc1nnc(s1)S(N)(=O)=O,IC1=CC=CC(Cl)=C1,1,1,0,<rdkit.Chem.rdchem.Mol object at 0x00000182DA215030>,0.20738315827139972
12,CC(=O)Nc1nnc(s1)S(N)(=O)=O,BrC1=CC=CC=C1,1,1,0,<rdkit.Chem.rdchem.Mol object at 0x00000182DA215090>,0.1892249771708565
13,CC(=O)Nc1nnc(s1)S(N)(=O)=O,C1=CC=CC(Br)=C1,1,1,0,<rdkit.Chem.rdchem.Mol object at 0x00000182DA2150F0>,0.1892249771708565
14,CC(=O)Nc1nnc(s1)S(N)(=O)=O,O=C1NC(=O)NC1=O,1,1,0,<rdkit.Chem.rdchem.Mol object at 0x00000182DA215150>,0.06478816547845895
15,CC(=O)Nc1nnc(s1)S(N)(=O)=O,BrC1=CC=CC=C1Br,1,1,0,<rdkit.Chem.rdchem.Mol object at 0x00000182DA2151B0>,0.16453509593820823
16,CC(=O)Nc1nnc(s1)S(N)(=O)=O,BrC1=CC=CC=C1Cl,1,1,0,<rdkit.Chem.rdchem.Mol object at 0x00000182DA215210>,0.21552090738764504
17,CC(=O)Nc1nnc(s1)S(N)(=O)=O,ClC1=CC=CC=C1Br,1,1,0,<rdkit.Chem.rdchem.Mol object at 0x00000182DA215270>,0.21552090738764504
18,CC(=O)Nc1nnc(s1)S(N)(=O)=O,C1=CC=C(Br)C=C1,1,1,0,<rdkit.Chem.rdchem.Mol object at 0x00000182DA2152D0>,0.1892249771708565
19,CC(=O)Nc1nnc(s1)S(N)(=O)=O,IC1=CC(Cl)=CC(Cl)=C1,1,1,0,<rdkit.Chem.rdchem.Mol object at 0x00000182DA215330>,0.18855621186039243
20,CC(=O)Nc1nnc(s1)S(N)(=O)=O,C1=CC=C(Cl)C(I)=C1,1,1,0,<rdkit.Chem.rdchem.Mol object at 0x00000182DA215390>,0.19476821593089735
21,CC(=O)Nc1nnc(s1)S(N)(=O)=O,CCCCCCCCCCCCCC,1,1,0,<rdkit.Chem.rdchem.Mol object at 0x00000182DA2153F0>,0.07432226907825941
