,drug,generated_coformers,unobstructed,orthogonal_planes,h_bond_bridging,mol,diversity
0,NC(=O)C1=CC=CC=C1,O=C1C=CC(=O)O1,1,1,0,<rdkit.Chem.rdchem.Mol object at 0x000001C6A9DA9390>,0.05699395966856322
1,NC(=O)C1=CC=CC=C1,CCC(C)Cl,1,1,0,<rdkit.Chem.rdchem.Mol object at 0x000001C6A9DA9330>,0.05289515548866335
2,NC(=O)C1=CC=CC=C1,BrC1=CC=CC(I)=C1,1,1,0,<rdkit.Chem.rdchem.Mol object at 0x000001C6A9DA91B0>,0.2800909737968063
3,NC(=O)C1=CC=CC=C1,C1=CC=C(Br)C(Cl)=C1,1,1,0,<rdkit.Chem.rdchem.Mol object at 0x000001C6A9DA90F0>,0.2717607993094964
4,NC(=O)C1=CC=CC=C1,IC1=CC(F)=CC(F)=C1,1,1,0,<rdkit.Chem.rdchem.Mol object at 0x000001C6A9DA9210>,0.17969626677600745
5,NC(=O)C1=CC=CC=C1,C1=CC=C(I)C=C1,1,1,0,<rdkit.Chem.rdchem.Mol object at 0x000001C6A9DA9270>,0.25955484197253154
6,NC(=O)C1=CC=CC=C1,FC1=CC=C(I)C(Cl)=C1,1,1,0,<rdkit.Chem.rdchem.Mol object at 0x000001C6A9DA93F0>,0.19475180175499776
7,NC(=O)C1=CC=CC=C1,IC1=CC=CC(Cl)=C1F,1,1,0,<rdkit.Chem.rdchem.Mol object at 0x000001C6A9DA9570>,0.17705537210832814
8,NC(=O)C1=CC=CC=C1,C1=CC=C(Br)C=C1,1,1,0,<rdkit.Chem.rdchem.Mol object at 0x000001C6A9DA94B0>,0.25876888771950146
9,NC(=O)C1=CC=CC=C1,ClC1=CC=CS1,1,1,0,<rdkit.Chem.rdchem.Mol object at 0x000001C6A9DA9630>,0.106384783305395
10,NC(=O)C1=CC=CC=C1,CCCCCCCCCCCCCC,1,1,0,<rdkit.Chem.rdchem.Mol object at 0x000001C6A9DA9690>,0.06821272139668315
11,NC(=O)C1=CC=CC=C1,C1=CC=CC=C1Br,1,1,0,<rdkit.Chem.rdchem.Mol object at 0x000001C6A9DA96F0>,0.25876888771950146
12,NC(=O)C1=CC=CC=C1,ClC1=CC=CC(Br)=C1,1,1,0,<rdkit.Chem.rdchem.Mol object at 0x000001C6A9DA9750>,0.26645425059253985
13,NC(=O)C1=CC=CC=C1,CCCCBr,1,1,0,<rdkit.Chem.rdchem.Mol object at 0x000001C6A9DA97B0>,0.05974373913161959
14,NC(=O)C1=CC=CC=C1,C=CCS(=O)(=O)Cl,1,1,0,<rdkit.Chem.rdchem.Mol object at 0x000001C6A9DA95D0>,0.05592136071727753
15,NC(=O)C1=CC=CC=C1,IC1=CC=C(Br)C=C1,1,1,0,<rdkit.Chem.rdchem.Mol object at 0x000001C6A9DA9810>,0.2984709786610809
16,NC(=O)C1=CC=CC=C1,FC1=CC=CC(Cl)=C1,1,1,0,<rdkit.Chem.rdchem.Mol object at 0x000001C6A9DA9870>,0.18605052454786036
17,NC(=O)C1=CC=CC=C1,BrC1=CC=CC=C1Cl,1,1,0,<rdkit.Chem.rdchem.Mol object at 0x000001C6A9DA98D0>,0.2717607993094964
18,NC(=O)C1=CC=CC=C1,IC1=CC=CC=C1,1,1,0,<rdkit.Chem.rdchem.Mol object at 0x000001C6A9DA9930>,0.25955484197253154
19,NC(=O)C1=CC=CC=C1,BrC1=CC=CC(Cl)=C1,1,1,0,<rdkit.Chem.rdchem.Mol object at 0x000001C6A9DA9990>,0.26645425059253985
20,NC(=O)C1=CC=CC=C1,C1=CC=CC(Br)=C1,1,1,0,<rdkit.Chem.rdchem.Mol object at 0x000001C6A9DA99F0>,0.25876888771950146
21,NC(=O)C1=CC=CC=C1,IC1=CC=C(I)C=C1,1,1,0,<rdkit.Chem.rdchem.Mol object at 0x000001C6A9DA9A50>,0.23825124162331388
22,NC(=O)C1=CC=CC=C1,IC1=CC=CC(Br)=C1,1,1,0,<rdkit.Chem.rdchem.Mol object at 0x000001C6A9DA9AB0>,0.2800909737968063
23,NC(=O)C1=CC=CC=C1,ClC1=CC=C(F)C=C1,1,1,0,<rdkit.Chem.rdchem.Mol object at 0x000001C6A9DA9B10>,0.1888785396721668
24,NC(=O)C1=CC=CC=C1,BrC1=CC=CS1,1,1,0,<rdkit.Chem.rdchem.Mol object at 0x000001C6A9DA9B70>,0.12272606680653006
25,NC(=O)C1=CC=CC=C1,ICCCCCCCCCCCCC,1,1,0,<rdkit.Chem.rdchem.Mol object at 0x000001C6A9DA9BD0>,0.06741047617782686
26,NC(=O)C1=CC=CC=C1,O=NI1=CC=CC=C1I,1,1,0,<rdkit.Chem.rdchem.Mol object at 0x000001C6A9DA9C30>,0.05187136981326584
